dataset,project,path,raw_rows,raw_columns,clean_rows,clean_columns,n_features,row_retention_rate,missing_value_rate,duplicate_rate,conflicting_duplicate_rate,constant_feature_rate,near_constant_feature_rate,high_correlation_feature_rate,outlier_instance_rate,outlier_cell_rate,class_0_count,class_1_count,minority_class_count,majority_class_count,minority_class_percentage,class_imbalance_ratio,label_entropy,quality_score,quality_level,warnings
BugHunter,full_netty_file,Data-set/BugHunterDataset-1.0/full/netty/file.csv,5125,9,4566,7,6,0.8909268292682927,0.0,0.0,0.23083661848445028,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.30245291283399034,0.10902321506789311,2634,1932,1932,2634,0.4231274638633377,1.3633540372670807,0.982881297092338,65.45,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_orientdb_file,Data-set/BugHunterDataset-1.0/full/orientdb/file.csv,4448,9,3925,7,6,0.8824190647482014,0.0,0.0,0.21656050955414013,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2894267515923567,0.1548535031847134,2137,1788,1788,2137,0.45554140127388537,1.1951901565995526,0.994289294184877,65.55,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_oryx_file,Data-set/BugHunterDataset-1.0/full/oryx/file.csv,608,9,513,7,6,0.84375,0.0,0.0,0.1364522417153996,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.18518518518518517,0.0682261208576998,436,77,77,436,0.15009746588693956,5.662337662337662,0.6100841593960458,64.81,limited,conflicting_duplicates;constant_features;moderate_class_imbalance
BugHunter,full_titan_file,Data-set/BugHunterDataset-1.0/full/titan/file.csv,486,9,462,7,6,0.9506172839506173,0.0,0.0,0.22510822510822512,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.24891774891774893,0.1116883116883117,276,186,186,276,0.4025974025974026,1.4838709677419355,0.972449714712879,67.95,limited,conflicting_duplicates;constant_features;many_outlier_instances
JIRA,activemq-5.8.0,Data-set/JIRA/activemq-5.8.0.csv,3420,69,2825,68,67,0.8260233918128655,0.0,0.0,0.0,0.014925373134328358,0.04477611940298507,0.44776119402985076,0.47752212389380533,0.07352847742228273,2619,206,206,2619,0.07292035398230089,12.71359223300971,0.376728529020371,73.35,moderate,constant_features;high_feature_redundancy;many_outlier_instances;severe_class_imbalance
JIRA,derby-10.5.1.1,Data-set/JIRA/derby-10.5.1.1.csv,2705,69,2681,68,67,0.9911275415896488,0.0,0.0,0.0,0.014925373134328358,0.029850746268656716,0.43283582089552236,0.5837374114136517,0.09056677501287722,2298,383,383,2298,0.14285714285714285,6.0,0.5916727785823273,81.39,moderate,constant_features;high_feature_redundancy;many_outlier_instances;moderate_class_imbalance
JIRA,groovy-1_6_BETA_2,Data-set/JIRA/groovy-1_6_BETA_2.csv,884,69,868,68,67,0.9819004524886877,0.0,0.0,0.0,0.0,0.04477611940298507,0.40298507462686567,0.4988479262672811,0.09585844263263617,795,73,73,795,0.08410138248847926,10.89041095890411,0.41646830884452907,78.48,moderate,high_feature_redundancy;many_outlier_instances;severe_class_imbalance
JIRA,hbase-0.95.2,Data-set/JIRA/hbase-0.95.2.csv,1834,69,1821,68,67,0.9929116684841875,0.0,0.0,0.0032948929159802307,0.0,0.029850746268656716,0.40298507462686567,0.6825919824272377,0.08186461927408742,1338,483,483,1338,0.2652388797364086,2.770186335403727,0.8345494562706586,84.46,moderate,conflicting_duplicates;high_feature_redundancy;many_outlier_instances
JIRA,hive-0.12.0,Data-set/JIRA/hive-0.12.0.csv,2662,69,2537,68,67,0.9530428249436514,0.0,0.0,0.0,0.0,0.04477611940298507,0.373134328358209,0.7008277493102089,0.08868742609381157,2327,210,210,2327,0.08277493102089081,11.08095238095238,0.41188214520775795,78.79,moderate,many_outlier_instances;severe_class_imbalance
JIRA,jruby-1.7.0.preview1,Data-set/JIRA/jruby-1.7.0.preview1.csv,1614,69,1576,68,67,0.976456009913259,0.0,0.0,0.0,0.0,0.029850746268656716,0.3880597014925373,0.631979695431472,0.11182540742719742,1489,87,87,1489,0.05520304568527919,17.114942528735632,0.30810084636780644,73.57,moderate,many_outlier_instances;severe_class_imbalance
JIRA,wicket-1.5.3,Data-set/JIRA/wicket-1.5.3.csv,2578,69,2521,68,67,0.9778898370830101,0.0,0.0,0.0,0.0,0.05970149253731343,0.4626865671641791,0.35779452598175326,0.0631635438784796,2416,105,105,2416,0.04165013883379611,23.00952380952381,0.2498075232217553,72.94,moderate,high_feature_redundancy;many_outlier_instances;severe_class_imbalance
Kamei,bugzilla,Data-set/Kamei/bugzilla.csv,4620,17,4620,16,15,1.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.503030303030303,0.09567099567099567,2924,1696,1696,2924,0.3670995670995671,1.724056603773585,0.9484190017787203,89.44,high,many_outlier_instances
Kamei,columba,Data-set/Kamei/columba.csv,4455,17,4455,16,15,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.5784511784511784,0.10769921436588104,3094,1361,1361,3094,0.30549943883277214,2.2733284349742835,0.8879098427840871,89.7,high,many_outlier_instances
Kamei,postgres,Data-set/Kamei/postgres.csv,20431,17,20431,16,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537173902403211,0.09693330940455408,15312,5119,5119,15312,0.25055063384073223,2.9912092205508887,0.8121496925606151,90.0,high,many_outlier_instances
NASA,CM1,Data-set/NASA/CM1.csv,344,39,327,38,37,0.9505813953488372,0.0,0.0,0.0,0.0,0.0,0.5675675675675675,0.3149847094801223,0.08328836121604606,285,42,42,285,0.12844036697247707,6.785714285714286,0.5531453183526466,83.2,moderate,high_feature_redundancy;many_outlier_instances;moderate_class_imbalance
NASA,KC3,Data-set/NASA/KC3.csv,200,41,194,40,39,0.97,0.0,0.0,0.0,0.0,0.0,0.5897435897435898,0.5670103092783505,0.09215870040612309,158,36,36,158,0.18556701030927836,4.388888888888889,0.6921053253628725,80.69,moderate,high_feature_redundancy;many_outlier_instances;moderate_class_imbalance
NASA,MC2,Data-set/NASA/MC2.csv,125,41,124,40,39,0.992,0.0,0.0,0.0,0.0,0.0,0.5128205128205128,0.6290322580645161,0.08752371916508539,80,44,44,80,0.3548387096774194,1.8181818181818181,0.9383153522334069,83.12,moderate,high_feature_redundancy;many_outlier_instances
NASA,MW1,Data-set/NASA/MW1.csv,263,39,254,38,37,0.9657794676806084,0.0,0.0,0.015748031496062992,0.0,0.0,0.5675675675675675,0.3188976377952756,0.060325120650241294,227,27,27,227,0.1062992125984252,8.407407407407407,0.48865134356960155,79.42,moderate,conflicting_duplicates;high_feature_redundancy;many_outlier_instances;moderate_class_imbalance
NASA,PC1,Data-set/NASA/PC1.csv,735,39,691,38,37,0.9401360544217687,0.0,0.0,0.017366136034732273,0.0,0.0,0.5945945945945946,0.4356005788712012,0.08583574529667148,630,61,61,630,0.08827785817655572,10.327868852459016,0.43069525903468153,74.33,moderate,conflicting_duplicates;high_feature_redundancy;many_outlier_instances;severe_class_imbalance
NASA,PC2,Data-set/NASA/PC2.csv,1493,38,722,37,36,0.4835900870730074,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.31994459833795014,0.06570290858725762,706,16,16,706,0.0221606648199446,44.125,0.15340598598765123,62.87,limited,low_row_retention;high_feature_redundancy;many_outlier_instances;severe_class_imbalance
NASA,PC3,Data-set/NASA/PC3.csv,1099,39,1057,38,37,0.9617834394904459,0.0,0.0,0.003784295175023652,0.0,0.0,0.5675675675675675,0.4295175023651845,0.07726269315673288,925,132,132,925,0.12488174077578051,7.007575757575758,0.5432323553242964,79.91,moderate,conflicting_duplicates;high_feature_redundancy;many_outlier_instances;moderate_class_imbalance
NASA,PC4,Data-set/NASA/PC4.csv,1379,39,1272,38,37,0.9224075416968818,0.0,0.0,0.0015723270440251573,0.0,0.0,0.5675675675675675,0.45440251572327045,0.07687726319801791,1095,177,177,1095,0.1391509433962264,6.186440677966102,0.5820108825409298,79.75,moderate,conflicting_duplicates;high_feature_redundancy;many_outlier_instances;moderate_class_imbalance
NASA,PC5,Data-set/NASA/PC5.csv,16962,40,1718,39,38,0.10128522579884447,0.0,0.0,0.013969732246798603,0.0,0.0,0.6052631578947368,0.4871944121071013,0.11211737314250497,1248,470,470,1248,0.27357392316647267,2.65531914893617,0.8465463735100376,69.77,limited,low_row_retention;conflicting_duplicates;high_feature_redundancy;many_outlier_instances
Promise,ant-1.7,Data-set/Promise/ant-1.7.csv,745,24,724,21,20,0.9718120805369127,0.0,0.0,0.0,0.0,0.0,0.1,0.5842541436464088,0.0820441988950276,558,166,166,558,0.2292817679558011,3.36144578313253,0.7767571611104482,89.7,high,many_outlier_instances
Promise,camel-1.6,Data-set/Promise/camel-1.6.csv,965,24,884,21,20,0.9160621761658031,0.0,0.0,0.006787330316742082,0.0,0.0,0.2,0.3552036199095023,0.06237879767291532,700,184,184,700,0.2081447963800905,3.8043478260869565,0.7379215885802093,89.12,high,conflicting_duplicates;many_outlier_instances
Promise,jedit-4.3,Data-set/Promise/jedit-4.3.csv,492,24,476,21,20,0.967479674796748,0.0,0.0,0.004201680672268907,0.0,0.0,0.2,0.36554621848739494,0.05698529411764706,468,8,8,468,0.01680672268907563,58.5,0.12311463565031058,76.69,moderate,conflicting_duplicates;many_outlier_instances;severe_class_imbalance
Promise,prop-2,Data-set/Promise/prop-2.csv,23014,23,13183,21,20,0.5728252368123751,0.0,0.0,0.08101342638246226,0.0,0.05,0.1,0.5497231282712585,0.0900089687699399,11146,2037,2037,11146,0.1545171812182356,5.471772214040255,0.6210300484697446,67.43,limited,low_row_retention;conflicting_duplicates;many_outlier_instances;moderate_class_imbalance
Promise,velocity-1.6,Data-set/Promise/velocity-1.6.csv,229,24,211,21,20,0.9213973799126638,0.0,0.0,0.0,0.0,0.0,0.1,0.4265402843601896,0.07481381178063641,135,76,76,135,0.36018957345971564,1.7763157894736843,0.9428404369366891,91.0,high,many_outlier_instances
Promise,xalan-2.7,Data-set/Promise/xalan-2.7.csv,909,24,740,21,20,0.8140814081408141,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.08226351351351352,8,732,8,732,0.010810810810810811,91.5,0.08612162048398905,72.98,moderate,many_outlier_instances;severe_class_imbalance
Promise,xerces-1.4,Data-set/Promise/xerces-1.4.csv,588,24,490,21,20,0.8333333333333334,0.0,0.0,0.00816326530612245,0.0,0.0,0.2,0.4816326530612245,0.10068027210884352,112,378,112,378,0.22857142857142856,3.375,0.7755126581331478,84.62,moderate,conflicting_duplicates;many_outlier_instances
ReLink,Apache,Data-set/ReLinkCSV/Apache.csv,194,28,194,27,26,1.0,0.0,0.0,0.0,0.0,0.0,0.7307692307692307,0.34536082474226804,0.07573354480570975,96,98,96,98,0.4948453608247423,1.0208333333333333,0.9999233329473267,83.44,moderate,high_feature_redundancy;many_outlier_instances
ReLink,Safe,Data-set/ReLinkCSV/Safe.csv,56,28,56,27,26,1.0,0.0,0.0,0.0,0.0,0.0,0.8076923076923077,0.39285714285714285,0.08928571428571429,34,22,22,34,0.39285714285714285,1.5454545454545454,0.9666186325481028,82.38,moderate,high_feature_redundancy;many_outlier_instances
ReLink,Zxing,Data-set/ReLinkCSV/Zxing.csv,399,28,354,27,26,0.8872180451127819,0.0,0.0,0.011299435028248588,0.0,0.0,0.7307692307692307,0.3305084745762712,0.10282485875706213,245,109,109,245,0.307909604519774,2.2477064220183487,0.8907457013363456,80.68,moderate,conflicting_duplicates;high_feature_redundancy;many_outlier_instances
UnifiedBugDataSet_File,Unified-file,Data-set/UnifiedBugDataSet_File/Unified-file.csv,43744,11,35829,7,6,0.8190608997805413,0.0,0.0,0.05001535069357225,0.16666666666666666,0.16666666666666666,0.0,0.323201875575651,0.12109185296826594,25854,9975,9975,25854,0.27840576069664236,2.5918796992481203,0.8532694430732699,74.78,moderate,conflicting_duplicates;constant_features;many_outlier_instances
ApacheJIT,dataset_apachejit_total,Data-set/apachejit/dataset/apachejit_total.csv,106674,18,106272,16,15,0.9962315090837505,0.0,0.0,0.0019760614272809397,0.0,0.0,0.4,0.7513644233664559,0.12977077687443542,78046,28226,28226,78046,0.26560147545919904,2.7650393254446257,0.835081979329938,84.7,moderate,conflicting_duplicates;many_outlier_instances
